Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Inspiratory Indicies,Weight [kg]
0,18.1624877327841,-0.152406677359627,0,41,74
0.01,17.9264719441714,-0.152406677359627,-0.00152406677359627,497,0
0.02,17.6690001747758,-0.152406677359627,-0.00304813354719255,886,0
0.03,17.4651683573376,-0.152406677359627,-0.00457220032078882,1287,0
0.04,17.2076965879419,0.111894124921677,-0.00477476308297858,1749,0
0.05,16.9073128569803,0.111894124921677,-0.00365582183376181,2182,0
0.06,16.5747451548443,0.19066293693981,-0.00214303652445438,2565,0
0.07,16.2207214719253,-0.152406677359627,-0.00195175522655346,2945,0
0.08,15.8666977890063,0.0245818027557917,-0.00259087959957264,3360,0
0.09,15.4697621445214,0.111894124921677,-0.0019084999611853,3727,0
0.1,15.0620985096449,0.19066293693981,-0.000395714651877869,4133,0
0.11,14.66516286516,0.0245818027557917,0.00068050904660014,0,0
0.12,14.289683201458,0.19066293693981,0.00175673274507815,0,0
0.13,13.8712915761901,0.19066293693981,0.00366336211447625,0,0
0.14,13.3885320085733,0.19066293693981,0.00556999148387435,0,0
0.15,12.8628604793905,0.19066293693981,0.00747662085327245,0,0
0.16,12.2835489982503,0.19066293693981,0.00938325022267055,0,0
0.17,11.6935095267186,0.245325122751503,0.0115631905211271,0,0
0.18,11.0712860840125,0.19066293693981,0.0137431308195837,0,0
0.19,10.4168786701319,0.19066293693981,0.0156497601889818,0,0
0.2,9.83756718899173,0.245325122751503,0.0178297004874384,0,0
0.21,9.290439679026,0.19066293693981,0.0200096407858949,0,0
0.22,8.68967221710284,0.111894124921677,0.0215224260952024,0,0
0.23,8.12108872635413,0.111894124921677,0.0226413673444191,0,0
0.24,7.56323322599691,0.245325122751503,0.024427463582785,0,0
0.25,6.99464973524821,0.111894124921677,0.0262135598211509,0,0
0.26,6.44752222528248,0.19066293693981,0.0277263451304584,0,0
0.27,5.95403466727417,0.111894124921677,0.0292391304397658,0,0
0.28,5.41763514769992,0.111894124921677,0.0303580716889826,0,0
0.29,5.00997151282349,0.111894124921677,0.0314770129381993,0,0
0.3,4.51648395481518,0.111894124921677,0.0325959541874161,0,0
0.31,4.11954831033023,0.111894124921677,0.0337148954366328,0,0
0.32,3.79770859858569,0.111894124921677,0.0348338366858496,0,0
0.33,3.50805285801559,0.111894124921677,0.0359527779350664,0,0
0.34,3.28276505979441,0.19066293693981,0.0374655632443738,0,0
0.35,3.01456530000728,0.19066293693981,0.0393721926137719,0,0
0.36,2.73563754982867,0.268515262170148,0.0416680836093217,0,0
0.37,2.499621761216,0.30972973113479,0.0445593085758464,0,0
0.38,2.32797391495224,0.30972973113479,0.0476566058871943,0,0
0.39,2.15632606868848,0.362878212138203,0.0510196456035593,0,0
0.4,1.9310382704673,0.394350931500288,0,0,0
0.41,1.84521434733542,0.437333680009823,0.00415842305755056,0,0
0.42,1.72720645302908,0.437333680009823,0.00853175985764879,0,0
0.43,1.69502248185463,0.476454445006785,0.0131007004827318,0,0
0.44,1.52337463559087,0.500840192573689,0.0179871736706342,0,0
0.45,1.46973468363344,0.500840192573689,0.0229955755963711,0,0
0.46,1.2873588469782,0.557154421434099,0.02828554866641,0,0
0.47,1.20153492384632,0.557154421434099,0.033857092880751,0,0
0.48,0.976247125625134,0.578146270120367,0.0395335963385234,0,0
0.49,0.976247125625134,0.608277239546148,0.0454657138868559,0,0
0.5,0.815327269752859,0.588361402387474,0.051448907096524,0,0
0.51,0.643679423489099,0.664452692929647,0.0577129775731097,0,0
0.52,0.557855500357219,0.655424557806768,0.0643123638267917,0,0
0.53,0.289655740570095,0.655424557806768,0.0708666094048594,0,0
0.54,0.203831817438215,0.707868301287588,0.0776830737003312,0,0
0.55,-0.0750959327403949,0.724506447382148,0.0848449474436799,0,0
0.56,-0.429119615659399,0.699400816272409,0.0919644837619527,0,0
0.57,-0.632951433097614,0.787551797420593,0.0993992468304177,0,0
0.58,-0.858239231318799,0.802539652572341,0.107349704080382,0,0
0.59,-1.16935095267186,0.809929579726655,0.115412050241877,0,0
0.6,-1.26590286619523,0.880423889821731,0.123863817589619,0,0
0.61,-1.49119066441641,0.932992211698968,0.132930898097223,0,0
0.62,-1.52337463559087,0.859882628777345,0.141895272299604,0,0
0.63,-1.46973468363344,0.87363046856412,0.150562837786312,0,0
0.64,-1.78084640498651,0.976671223210643,0.159814346245185,0,0
0.65,-1.84521434733542,0.970551723548267,0.16955046097898,0,0
0.66,-1.75939042420354,0.913633611791479,0.178971387655679,0,0
0.67,-2.02759018399066,0.87363046856412,0.187907708057457,0,0
0.68,-1.98467822242472,1.02431192493785,0.197397420024967,0,0
0.69,-2.11341410712254,1.01847871328006,0.207611373216056,0,0
0.7,-1.96322224164175,1.05299338573241,0.217968733711118,0,0
0.71,-2.32797391495224,1.09188244859648,0.228693112882763,0,0
0.72,-2.02759018399066,1.08091406745518,0.239557095463021,0,0
0.73,-2.32797391495224,1.11883306725327,0.250555831136563,0,0
0.74,-2.32797391495224,1.16065312376328,0.261953262091646,0,0
0.75,-2.41379783808412,1.10813147778087,0.273297185099367,0,0
0.76,-2.27433396299482,1.1503406510121,0.284589545743332,0,0
0.77,-2.88582941530946,1.20596846774235,0.296371091337104,0,0
0.78,-2.58544568434788,1.16577515150509,0.308229809433341,0,0
0.79,-2.64981362669679,1.16065312376328,0.319861950809683,0,0
0.8,-2.53180573239046,1.25914108701397,0.331960921863569,0,0
0.81,-2.64981362669679,1.20101786623828,0.34426171662983,0,0
0.82,-2.64981362669679,1.27325738462516,0.356633092884148,0,0
0.83,-2.7892775017861,1.235255490245,0.369175657258498,0,0
0.84,-2.53180573239046,1.235255490245,0.381528212160948,0,0
0.85,-2.61762965552234,1.21580919782643,0.393783535601306,0,0
0.86,-2.3601578861267,1.25914108701397,0.406158287025508,0,0
